Country,DevType,YearsCodePro,Salary,Count
India,DevOps specialist,10-15,27986.0,1
India,DevOps specialist,15-20,453372.0,1
India,DevOps specialist,2-5,17771.727272727272,11
India,DevOps specialist,5-7,24161.0,3
India,DevOps specialist,7-10,42679.0,2
India,"Developer, back-end",0-2,10876.223844282238,411
India,"Developer, back-end",10-15,101609.765625,64
India,"Developer, back-end",15-20,30621.833333333332,12
India,"Developer, back-end",2-5,25070.708661417324,508
India,"Developer, back-end",20+,20934.285714285714,14
India,"Developer, back-end",5-7,27984.615384615383,195
India,"Developer, back-end",7-10,56831.46086956522,115
India,"Developer, front-end",0-2,9186.656862745098,102
India,"Developer, front-end",10-15,67201.0,15
India,"Developer, front-end",15-20,11894.0,1
India,"Developer, front-end",2-5,24072.78761061947,113
India,"Developer, front-end",20+,12588.0,1
India,"Developer, front-end",5-7,30144.28,50
India,"Developer, front-end",7-10,40918.11111111111,27
India,"Developer, full-stack",0-2,15086.813636363637,220
India,"Developer, full-stack",10-15,68763.25925925926,27
India,"Developer, full-stack",15-20,53548.142857142855,7
India,"Developer, full-stack",2-5,26585.20792079208,202
India,"Developer, full-stack",20+,204178.0,4
India,"Developer, full-stack",5-7,29759.164556962027,79
India,"Developer, full-stack",7-10,21644.490566037737,53
Poland,Academic researcher,0-2,13914.0,10
Poland,Academic researcher,10-15,30971.8,5
Poland,Academic researcher,15-20,17369.0,1
Poland,Academic researcher,2-5,21983.58823529412,17
Poland,Academic researcher,5-7,82374.28571428571,7
Poland,Academic researcher,7-10,43234.8,10
Poland,Data or business analyst,0-2,18831.277777777777,18
Poland,Data or business analyst,10-15,47308.8,5
Poland,Data or business analyst,15-20,62299.333333333336,6
Poland,Data or business analyst,2-5,31602.36842105263,19
Poland,Data or business analyst,5-7,36205.25,4
Poland,Data or business analyst,7-10,49734.0,10
Poland,Data scientist & ML,0-2,25398.75,16
Poland,Data scientist & ML,10-15,75076.25,4
Poland,Data scientist & ML,15-20,85500.0,1
Poland,Data scientist & ML,2-5,50177.38461538462,13
Poland,Data scientist & ML,20+,56112.0,2
Poland,Data scientist & ML,5-7,46492.0,3
Poland,Data scientist & ML,7-10,52063.42857142857,7
Poland,Database administrator,0-2,53622.46153846154,13
Poland,Database administrator,10-15,56015.666666666664,9
Poland,Database administrator,15-20,52102.6,5
Poland,Database administrator,2-5,32533.944444444445,18
Poland,Database administrator,20+,31104.0,5
Poland,Database administrator,5-7,65488.42857142857,14
Poland,Database administrator,7-10,43482.28571428572,14
Poland,DevOps specialist,0-2,23940.0,3
Poland,DevOps specialist,10-15,51300.0,1
Poland,DevOps specialist,2-5,37552.8,5
Poland,DevOps specialist,5-7,38472.0,1
Poland,DevOps specialist,7-10,38472.0,1
Poland,"Developer, back-end",0-2,18129.635135135137,148
Poland,"Developer, back-end",10-15,78084.07692307692,65
Poland,"Developer, back-end",15-20,56081.666666666664,9
